Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
2020-10-16,"Peanuts, Cocktail",Snacks,49,Pieces,238,19.60,9.80,7,2.80,1.4,2.80,0,133
2020-10-16,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-17,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-17,"Cookie, Chocolate Chip, Small",Lunch,150,Grams,681,30.93,7.35,97.58,14.91,56.77,3.60,0,408
2020-10-17,"Milk, 2%, w/ Vitamin A & D",Lunch,73,Milliliters,38,1.49,2.48,3.61,0.94,3.81,0,6.2,35.38
2020-10-17,"Soylent, Original, 2.0",Dinner,1,Bottle,400,21,20,36,2,1,3,0,300
2020-10-17,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-18,"Milk, 2%, w/ Vitamin A & D",Breakfast,206,Milliliters,106,4.21,7.1,10.2,2.66,10.75,0,17,99.85
2020-10-18,"Cereal, Cheerios",Breakfast,52,Grams,186,3.71,5.57,37.14,0.93,1.86,5.57,0,260
2020-10-18,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-18,"Chips, Tortilla, Restaurant Style, Original",Lunch,57,Grams,285,14.25,4.7,38.68,2.4,0,2.4,0,234.11
2020-10-18,"Salsa, Chunky, Mild",Lunch,89.666,Milliliters,30,0,0,5.86,0,5.86,1.47,0,732.66
2020-10-18,"Drink, Ion4, Orange",Lunch,308,Milliliters,69,0,0,19.9,0,19.9,0,0,65.9
2020-10-18,4 Cheese Mexican Blend,Lunch,2,Servings,220,18,12,2,12,0,0,50,400
2020-10-18,"Popcorn, White Cheddar Cheese",Snacks,77,Grams,440,27.50,11,35.75,5.50,5.5,5.50,13.75,660
2020-10-18,Chocolate Chip Cookie Sandwich,Snacks,1,Serving,380,15,3,57,6,34,1,10,210
2020-10-18,Google Fit Workout,Exercise,35,minutes,461.277,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-18,Steps Bonus,Exercise,-1,minutes,223.11,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-19,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-19,"Chips, Tortilla, Restaurant Style, Original",Lunch,52,Grams,260,13,3.71,35.29,1.86,0,1.86,0,213.57
2020-10-19,4 Cheese Mexican Blend,Lunch,1.666,Servings,183,14.99,10,1.67,10,0,0,41.65,333.20
2020-10-19,"Salsa, Chunky, Mild",Lunch,10,Tablespoons,50,0,0,10,0,10,2.50,0,1250.15
2020-10-19,"Milk, 2%, w/ Vitamin A & D",Snacks,134,Milliliters,69,2.74,4.56,6.63,1.73,6.99,0,11.6,64.95
2020-10-19,"Cookie, Chocolate Chip, Small",Snacks,99,Grams,449,20.41,4.85,64.4,9.84,37.47,2.38,0,269.28
2020-10-19,"Popcorn, White Cheddar Cheese",Snacks,43,Grams,246,15.36,4.61,21.5,3.7,3.7,3.7,0,445.36
2020-10-19,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
